bar,time,symbol,interval,price,signal,p_used,p_single,p_1m,p_5m,p_15m,p_1h,whale_dir,whale_score,atr,equity,peak_equity,max_drawdown_pct,pnl_total
434,434,BTCUSDT,5m,93607.7,hold,0.5,0.5,0.5,0.5,0.5,0.5,short,0.6264048773962761,159.8257142857162,1000.0,1000.0,0.0,0.0
435,435,BTCUSDT,5m,93568.05,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,150.57357142857342,1000.0,1000.0,0.0,0.0
436,436,BTCUSDT,5m,93543.04,hold,0.5,0.5,0.5,0.5,0.5,0.5,long,1.0,140.9485714285724,1000.0,1000.0,0.0,0.0
437,437,BTCUSDT,5m,93389.64,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,149.2335714285717,1000.0,1000.0,0.0,0.0
438,438,BTCUSDT,5m,93460.58,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,146.38714285714377,1000.0,1000.0,0.0,0.0
439,439,BTCUSDT,5m,93465.98,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,144.2107142857141,1000.0,1000.0,0.0,0.0
440,440,BTCUSDT,5m,93441.78,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,140.6685714285725,1000.0,1000.0,0.0,0.0
441,441,BTCUSDT,5m,93399.99,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,132.75000000000105,1000.0,1000.0,0.0,0.0
442,442,BTCUSDT,5m,93409.11,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,125.49142857142995,1000.0,1000.0,0.0,0.0
443,443,BTCUSDT,5m,93451.36,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,123.8985714285726,1000.0,1000.0,0.0,0.0
444,444,BTCUSDT,5m,93401.95,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,125.07428571428629,1000.0,1000.0,0.0,0.0
445,445,BTCUSDT,5m,93382.63,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,128.72785714285732,1000.0,1000.0,0.0,0.0
446,446,BTCUSDT,5m,93303.49,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,125.91071428571429,1000.0,1000.0,0.0,0.0
447,447,BTCUSDT,5m,93328.91,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,126.4585714285713,1000.0,1000.0,0.0,0.0
448,448,BTCUSDT,5m,93360.58,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,116.08214285714244,1000.0,1000.0,0.0,0.0
449,449,BTCUSDT,5m,93332.12,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,119.28857142857098,1000.0,1000.0,0.0,0.0
450,450,BTCUSDT,5m,93130.11,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,130.1435714285721,1000.0,1000.0,0.0,0.0
451,451,BTCUSDT,5m,93203.68,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,126.64857142857156,1000.0,1000.0,0.0,0.0
452,452,BTCUSDT,5m,93031.34,hold,0.5,0.5,0.5,0.5,0.5,0.5,none,0.0,132.538571428572,1000.0,1000.0,0.0,0.0
